#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2EC34
#Date Time: 2026-03-31 19:17:04.223
#Sample rate: 2e+06Hz
#Samples: 4096

Time (s),DIO  6,DIO  5,DIO  4,DIO  3,DIO  2,DIO  1,DIO  0
1.4449215,0,0,0,0,0,0,0
1.444922,0,0,0,0,0,0,0
1.4449225,0,0,0,0,0,0,0
1.444923,0,0,0,0,0,0,0
1.4449235,0,0,0,0,0,0,0
1.444924,0,0,0,0,0,0,0
1.4449245,0,0,0,0,0,0,0
1.444925,0,0,0,0,0,0,0
1.4449255,0,0,0,0,0,0,0
1.444926,0,0,0,0,0,0,0
1.4449265,0,0,0,0,0,0,0
1.444927,0,0,0,0,0,0,0
1.4449275,0,0,0,0,0,0,0
1.444928,0,0,0,0,0,0,0
1.4449285,0,0,0,0,0,0,0
1.444929,0,0,0,0,0,0,0
1.4449295,0,0,0,0,0,0,0
1.44493,0,0,0,0,0,0,0
1.4449305,0,0,0,0,0,0,0
1.444931,0,0,0,0,0,0,0
1.4449315,0,0,0,0,0,0,0
1.444932,0,0,0,0,0,0,0
1.4449325,0,0,0,0,0,0,0
1.444933,0,0,0,0,0,0,0
1.4449335,0,0,0,0,0,0,0
1.444934,0,0,0,0,0,0,0
1.4449345,0,0,0,0,0,0,0
1.444935,0,0,0,0,0,0,0
1.4449355,0,0,0,0,0,0,0
1.444936,0,0,0,0,0,0,0
1.4449365,0,0,0,0,0,0,0
1.444937,0,0,0,0,0,0,0
1.4449375,0,0,0,0,0,0,0
1.444938,0,0,0,0,0,0,0
1.4449385,0,0,0,0,0,0,0
1.444939,0,0,0,0,0,0,0
1.4449395,0,0,0,0,0,0,0
1.44494,0,0,0,0,0,0,0
1.4449405,0,0,0,0,0,0,0
1.444941,0,0,0,0,0,0,0
1.4449415,0,0,0,0,0,0,0
1.444942,0,0,0,0,0,0,0
1.4449425,0,0,0,0,0,0,0
1.444943,0,0,0,0,0,0,0
1.4449435,0,0,0,0,0,0,0
1.444944,0,0,0,0,0,0,0
1.4449445,0,0,0,0,0,0,0
1.444945,0,0,0,0,0,0,0
1.4449455,0,0,0,0,0,0,0
1.444946,0,0,0,0,0,0,0
1.4449465,0,0,0,0,0,0,0
1.444947,0,0,0,0,0,0,0
1.4449475,0,0,0,0,0,0,0
1.444948,0,0,0,0,0,0,0
1.4449485,0,0,0,0,0,0,0
1.444949,0,0,0,0,0,0,0
1.4449495,0,0,0,0,0,0,0
1.44495,0,0,0,0,0,0,0
1.4449505,0,0,0,0,0,0,0
1.444951,1,0,0,0,0,0,0
1.4449515,1,0,0,0,0,0,0
1.444952,1,0,0,0,0,0,0
1.4449525,1,0,0,0,0,0,0
1.444953,1,0,0,0,0,0,0
1.4449535,1,0,0,0,0,0,0
1.444954,1,0,0,0,0,0,0
1.4449545,1,0,0,0,0,0,0
1.444955,1,0,0,0,0,0,0
1.4449555,1,0,0,0,0,0,0
1.444956,1,0,0,0,0,0,0
1.4449565,1,0,0,0,0,0,0
1.444957,1,0,0,0,0,0,0
1.4449575,1,0,0,0,0,0,0
1.444958,1,0,0,0,0,0,0
1.4449585,1,0,0,0,0,0,0
1.444959,1,0,0,0,0,0,0
1.4449595,1,0,0,0,0,0,0
1.44496,1,0,0,0,0,0,0
1.4449605,1,0,0,0,0,0,0
1.444961,1,0,0,0,0,0,0
1.4449615,1,0,0,0,0,0,0
1.444962,1,0,0,0,0,0,0
1.4449625,1,0,0,0,0,0,0
1.444963,1,0,0,0,0,0,0
1.4449635,1,0,0,0,0,0,0
1.444964,1,0,0,0,0,0,0
1.4449645,1,0,0,0,0,0,0
1.444965,1,0,0,0,0,0,0
1.4449655,1,0,0,0,0,0,0
1.444966,1,0,0,0,0,0,0
1.4449665,1,0,0,0,0,0,0
1.444967,1,0,0,0,0,0,0
1.4449675,1,0,0,0,0,0,0
1.444968,1,0,0,0,0,0,0
1.4449685,1,0,0,0,0,0,0
1.444969,1,0,0,0,0,0,0
1.4449695,1,0,0,0,0,0,0
1.44497,1,0,0,0,0,0,0
1.4449705,1,0,0,0,0,0,0
1.444971,1,0,0,0,0,0,0
1.4449715,1,0,0,0,0,0,0
1.444972,1,0,0,0,0,0,0
1.4449725,1,0,0,0,0,0,0
1.444973,1,0,0,0,0,0,0
1.4449735,1,0,0,0,0,0,0
1.444974,1,0,0,0,0,0,0
1.4449745,1,0,0,0,0,0,0
1.444975,1,0,0,0,0,0,0
1.4449755,1,0,0,0,0,0,0
1.444976,1,0,0,0,0,0,0
1.4449765,1,0,0,0,0,0,0
1.444977,1,0,0,0,0,0,0
1.4449775,1,0,0,0,0,0,0
1.444978,1,0,0,0,0,0,0
1.4449785,1,0,0,0,0,0,0
1.444979,1,1,0,0,0,0,0
1.4449795,1,1,0,0,0,0,0
1.44498,1,1,0,0,0,0,0
1.4449805,1,1,0,0,0,0,0
1.444981,1,1,0,0,0,0,0
1.4449815,1,1,0,0,0,0,0
1.444982,1,1,0,0,0,0,0
1.4449825,1,1,0,0,0,0,0
1.444983,1,1,0,0,0,0,0
1.4449835,1,1,0,0,0,0,0
1.444984,1,1,0,0,0,0,0
1.4449845,1,1,0,0,0,0,0
1.444985,1,1,0,0,0,0,0
1.4449855,1,1,0,0,0,0,0
1.444986,1,1,0,0,0,0,0
1.4449865,1,1,0,0,0,0,0
1.444987,1,1,0,0,0,0,0
1.4449875,1,1,0,0,0,0,0
1.444988,1,1,0,0,0,0,0
1.4449885,1,1,0,0,0,0,0
1.444989,1,1,0,0,0,0,0
1.4449895,1,1,0,0,0,0,0
1.44499,1,1,0,0,0,0,0
1.4449905,1,1,0,0,0,0,0
1.444991,1,1,0,0,0,0,0
1.4449915,1,1,0,0,0,0,0
1.444992,1,1,0,0,0,0,0
1.4449925,1,1,0,0,0,0,0
1.444993,1,1,0,0,0,0,0
1.4449935,1,1,0,0,0,0,0
1.444994,1,1,0,0,0,0,0
1.4449945,1,1,0,0,0,0,0
1.444995,1,1,0,0,0,0,0
1.4449955,1,1,0,0,0,0,0
1.444996,1,1,0,0,0,0,0
1.4449965,1,1,0,0,0,0,0
1.444997,1,1,0,0,0,0,0
1.4449975,1,1,0,0,0,0,0
1.444998,1,1,0,0,0,0,0
1.4449985,1,1,0,0,0,0,0
1.444999,1,1,0,0,0,0,0
1.4449995,1,1,0,0,0,0,0
1.445,1,1,0,0,0,0,0
1.4450005,1,1,0,0,0,0,0
1.445001,1,1,0,0,0,0,0
1.4450015,1,1,0,0,0,0,0
1.445002,1,1,0,0,0,0,0
1.4450025,1,1,1,0,0,0,0
1.445003,1,1,1,0,0,0,0
1.4450035,1,1,1,0,0,0,0
1.445004,1,1,1,0,0,0,0
1.4450045,1,1,1,0,0,0,0
1.445005,1,1,1,0,0,0,0
1.4450055,1,1,1,0,0,0,0
1.445006,1,1,1,0,0,0,0
1.4450065,1,1,1,0,0,0,0
1.445007,1,1,1,0,0,0,0
1.4450075,1,1,1,0,0,0,0
1.445008,1,1,1,0,0,0,0
1.4450085,1,1,1,0,0,0,0
1.445009,1,1,1,0,0,0,0
1.4450095,1,1,1,0,0,0,0
1.44501,1,1,1,0,0,0,0
1.4450105,1,1,1,0,0,0,0
1.445011,1,1,1,0,0,0,0
1.4450115,1,1,1,0,0,0,0
1.445012,1,1,1,0,0,0,0
1.4450125,1,1,1,0,0,0,0
1.445013,1,1,1,0,0,0,0
1.4450135,1,1,1,0,0,0,0
1.445014,1,1,1,0,0,0,0
1.4450145,1,1,1,0,0,0,0
1.445015,1,1,1,0,0,0,0
1.4450155,1,1,1,0,0,0,0
1.445016,1,1,1,0,0,0,0
1.4450165,1,1,1,0,0,0,0
1.445017,1,1,1,0,0,0,0
1.4450175,1,1,1,0,0,0,0
1.445018,1,1,1,0,0,0,0
1.4450185,1,1,1,0,0,0,0
1.445019,1,1,1,0,0,0,0
1.4450195,1,1,1,0,0,0,0
1.44502,1,1,1,0,0,0,0
1.4450205,1,1,1,0,0,0,0
1.445021,1,1,1,1,0,0,0
1.4450215,1,1,1,1,0,0,0
1.445022,1,1,1,1,0,0,0
1.4450225,1,1,1,1,0,0,0
1.445023,1,1,1,1,0,0,0
1.4450235,1,1,1,1,0,0,0
1.445024,1,1,1,1,0,0,0
1.4450245,1,1,1,1,0,0,0
1.445025,1,1,1,1,0,0,0
1.4450255,1,1,1,1,0,0,0
1.445026,1,1,1,1,0,0,0
1.4450265,1,1,1,1,0,0,0
1.445027,1,1,1,1,0,0,0
1.4450275,1,1,1,1,0,0,0
1.445028,1,1,1,1,0,0,0
1.4450285,1,1,1,1,0,0,0
1.445029,1,1,1,1,0,0,0
1.4450295,1,1,1,1,0,0,0
1.44503,1,1,1,1,0,0,0
1.4450305,1,1,1,1,0,0,0
1.445031,1,1,1,1,0,0,0
1.4450315,1,1,1,1,0,0,0
1.445032,1,1,1,1,0,0,0
1.4450325,1,1,1,1,0,0,0
1.445033,1,1,1,1,0,0,0
1.4450335,1,1,1,1,0,0,0
1.445034,1,1,1,1,0,0,0
1.4450345,1,1,1,1,0,0,0
1.445035,1,1,1,1,0,0,0
1.4450355,1,1,1,1,0,0,0
1.445036,1,1,1,1,0,0,0
1.4450365,1,1,1,1,0,0,0
1.445037,1,1,1,1,0,0,0
1.4450375,1,1,1,1,0,0,0
1.445038,1,1,1,1,0,0,0
1.4450385,1,1,1,1,0,0,0
1.445039,1,1,1,1,0,0,0
1.4450395,1,1,1,1,1,0,0
1.44504,1,1,1,1,1,0,0
1.4450405,1,1,1,1,1,0,0
1.445041,1,1,1,1,1,0,0
1.4450415,1,1,1,1,1,0,0
1.445042,1,1,1,1,1,0,0
1.4450425,1,1,1,1,1,0,0
1.445043,1,1,1,1,1,0,0
1.4450435,1,1,1,1,1,0,0
1.445044,1,1,1,1,1,0,0
1.4450445,1,1,1,1,1,0,0
1.445045,1,1,1,1,1,0,0
1.4450455,1,1,1,1,1,0,0
1.445046,1,1,1,1,1,0,0
1.4450465,1,1,1,1,1,0,0
1.445047,1,1,1,1,1,0,0
1.4450475,1,1,1,1,1,0,0
1.445048,1,1,1,1,1,0,0
1.4450485,1,1,1,1,1,0,0
1.445049,1,1,1,1,1,0,0
1.4450495,1,1,1,1,1,0,0
1.44505,1,1,1,1,1,0,0
1.4450505,1,1,1,1,1,0,0
1.445051,1,1,1,1,1,0,0
1.4450515,1,1,1,1,1,0,0
1.445052,1,1,1,1,1,0,0
1.4450525,1,1,1,1,1,0,0
1.445053,1,1,1,1,1,0,0
1.4450535,1,1,1,1,1,0,0
1.445054,1,1,1,1,1,0,0
1.4450545,1,1,1,1,1,0,0
1.445055,1,1,1,1,1,0,0
1.4450555,1,1,1,1,1,0,0
1.445056,1,1,1,1,1,0,0
1.4450565,1,1,1,1,1,1,0
1.445057,1,1,1,1,1,1,0
1.4450575,1,1,1,1,1,1,0
1.445058,1,1,1,1,1,1,0
1.4450585,1,1,1,1,1,1,0
1.445059,1,1,1,1,1,1,0
1.4450595,1,1,1,1,1,1,0
1.44506,1,1,1,1,1,1,0
1.4450605,1,1,1,1,1,1,0
1.445061,1,1,1,1,1,1,0
1.4450615,1,1,1,1,1,1,0
1.445062,1,1,1,1,1,1,0
1.4450625,1,1,1,1,1,1,0
1.445063,1,1,1,1,1,1,0
1.4450635,1,1,1,1,1,1,0
1.445064,1,1,1,1,1,1,0
1.4450645,1,1,1,1,1,1,0
1.445065,1,1,1,1,1,1,0
1.4450655,1,1,1,1,1,1,0
1.445066,1,1,1,1,1,1,0
1.4450665,1,1,1,1,1,1,0
1.445067,1,1,1,1,1,1,0
1.4450675,1,1,1,1,1,1,0
1.445068,1,1,1,1,1,1,0
1.4450685,1,1,1,1,1,1,0
1.445069,1,1,1,1,1,1,0
1.4450695,1,1,1,1,1,1,0
1.44507,1,1,1,1,1,1,0
1.4450705,1,1,1,1,1,1,0
1.445071,1,1,1,1,1,1,0
1.4450715,1,1,1,1,1,1,0
1.445072,1,1,1,1,1,1,0
1.4450725,1,1,1,1,1,1,0
1.445073,1,1,1,1,1,1,0
1.4450735,1,1,1,1,1,1,1
1.445074,1,1,1,1,1,1,1
1.4450745,1,1,1,1,1,1,1
1.445075,1,1,1,1,1,1,1
1.4450755,1,1,1,1,1,1,1
1.445076,1,1,1,1,1,1,1
1.4450765,1,1,1,1,1,1,1
1.445077,1,1,1,1,1,1,1
1.4450775,1,1,1,1,1,1,1
1.445078,1,1,1,1,1,1,1
1.4450785,1,1,1,1,1,1,1
1.445079,1,1,1,1,1,1,1
1.4450795,1,1,1,1,1,1,1
1.44508,1,1,1,1,1,1,1
1.4450805,1,1,1,1,1,1,1
1.445081,1,1,1,1,1,1,1
1.4450815,1,1,1,1,1,1,1
1.445082,1,1,1,1,1,1,1
1.4450825,1,1,1,1,1,1,1
1.445083,1,1,1,1,1,1,1
1.4450835,1,1,1,1,1,1,1
1.445084,1,1,1,1,1,1,1
1.4450845,1,1,1,1,1,1,1
1.445085,1,1,1,1,1,1,1
1.4450855,1,1,1,1,1,1,1
1.445086,1,1,1,1,1,1,1
1.4450865,1,1,1,1,1,1,1
1.445087,1,1,1,1,1,1,1
1.4450875,1,1,1,1,1,1,1
1.445088,1,1,1,1,1,1,1
1.4450885,1,1,1,1,1,1,1
1.445089,1,1,1,1,1,1,1
1.4450895,1,1,1,1,1,1,1
1.44509,1,1,1,1,1,1,1
1.4450905,1,1,1,1,1,1,1
1.445091,1,1,1,1,1,1,1
1.4450915,1,1,1,1,1,1,1
1.445092,1,1,1,1,1,1,1
1.4450925,1,1,1,1,1,1,1
1.445093,1,1,1,1,1,1,1
1.4450935,1,1,1,1,1,1,1
1.445094,1,1,1,1,1,1,1
1.4450945,1,1,1,1,1,1,1
1.445095,1,1,1,1,1,1,1
1.4450955,1,1,1,1,1,1,1
1.445096,1,1,1,1,1,1,1
1.4450965,1,1,1,1,1,1,1
1.445097,1,1,1,1,1,1,1
1.4450975,1,1,1,1,1,1,1
1.445098,1,1,1,1,1,1,1
1.4450985,1,1,1,1,1,1,1
1.445099,1,1,1,1,1,1,1
1.4450995,1,1,1,1,1,1,1
1.4451,1,1,1,1,1,1,1
